Producto,Precio_kg,n_values,rule
cartucho - cala,6.24,1,precio_unico
caucho,0.55,1,precio_unico
cebada,1.04510451045105,1,precio_unico
cebada en grano consumo humano,0.512354166666667,1,precio_unico
cebada forrajera,0.8267325,1,precio_unico
cebolla blanca,0.165016501650165,1,precio_unico
cebolla blanca en rama,0.772827937167,1,precio_unico
cebolla colorada,0.525280253025302,1,precio_unico
cebolla colorada nacional húmeda,0.415543642121767,1,precio_unico
cebolla colorada nacional seca,0.467980799592564,1,precio_unico
cebolla colorada peruana seca,0.524824079539989,1,precio_unico
cebolla colorada seca y limpia de primera,0.367305075038667,1,precio_unico
cebolla perla,0.33003300330033,1,precio_unico
cebolla perla nacional seca,0.553159571909572,1,precio_unico
cebolla perla roja,0.5291088,1,precio_unico
cebolla perla seca y limpia de primera,0.438441666666667,1,precio_unico
centeno,0.275027502750275,1,precio_unico
centeno forrajero,0.2755775,1,precio_unico
cerdo en pie - descarte,1.9416,1,precio_unico
cerdo en pie - engorde,2.39403333333333,1,precio_unico
cerdo en pie para faenamiento,1.97334785142131,1,precio_unico
cereza,8,1,precio_unico
chirimoya,0.561056105610561,1,precio_unico
chocho,2.64861111111111,1,precio_unico
cilantro,0.314945714285714,1,precio_unico
ciruelo,0.165016501650165,1,precio_unico
claudia,0.55,1,precio_unico
clavel,5.47,1,precio_unico
coco (cocotero),0.82,1,precio_unico
coco manila,0.31,1,precio_unico
coco seco,0.82,1,precio_unico
codornices,3.38,1,precio_unico
col,0.208006088182651,1,precio_unico
coliflor,0.08,1,precio_unico
craspedias,6.24,1,precio_unico
crisantemos – pompones,4.78,1,precio_unico
dalis,7.08,1,precio_unico
delphinium  (lackpur),6.24,1,precio_unico
delphinium (lackpur),6.24,1,precio_unico
durazno (melocoton),0.9369635,1,precio_unico
"durazno
(melocoton)",0.935093509350935,1,precio_unico
engorde para cerdos,0.647083333333333,1,precio_unico
eryngium,6.24,1,precio_unico
esparrago,3,1,precio_unico
espinaca,0.80168,1,precio_unico
fideo lazo chico,1.27462708161721,1,precio_unico
final - engorde para aves-broiler,0.748333333333333,1,precio_unico
fréjol amarillo seco,1.75998192087967,1,precio_unico
fréjol en vaina - gema,0.912176112001693,1,precio_unico
fréjol rojo tierno en vaina,0.461301451392887,1,precio_unico
frejol seco (grano seco),1.1574255,1,precio_unico
"frejol seco (grano
seco)",2.42504409171076,1,precio_unico
fréjol seco (no seleccionado),1.06916666666667,1,precio_unico
frejol seco (vaina seca),2.425082,1,precio_unico
"frejol seco (vaina
seca)",1.43300587311946,1,precio_unico
fréjol seco bayo bolon,1.73749038461539,1,precio_unico
fréjol seco canario,1.81000854994365,1,precio_unico
fréjol seco panamito,1.29657436367052,1,precio_unico
frejol tierno (grano tierno),1.1574255,1,precio_unico
"frejol tierno (grano
tierno)",1.15511551155116,1,precio_unico
frejol tierno (vaina),2.42504409171076,1,precio_unico
fréjol tierno en vaina blanco leche,0.553333333333333,1,precio_unico
fréjol tierno en vaina canario,1.00385245824135,1,precio_unico
fréjol tierno en vaina cargabello,0.654461416757845,1,precio_unico
frejol tierno en vaina centenario,0.476071097883598,1,precio_unico
frutilla,1.46836808781276,1,precio_unico
frutillas o fresas,1.763696,1,precio_unico
"frutillas o
fresas",2.75578052522972,1,precio_unico
gallinas ponedoras,1.8596,1,precio_unico
gallinas reproductoras,1.8596,1,precio_unico
gallos y gallinas,1.8596,1,precio_unico
gerberas,6.58,1,precio_unico
girasoles,6.24,1,precio_unico
gladiolos,6.24,1,precio_unico
granadilla,1.36614027407778,1,precio_unico
guaba,1,1,precio_unico
guanabana,1.00714285714286,1,precio_unico
guayaba,0.1,1,precio_unico
gysophilla,6.65,1,precio_unico
haba seca,1.77413522588523,1,precio_unico
haba seca (grano seco),1.7741,1,precio_unico
"haba seca (grano
seco)",2.42504409171076,1,precio_unico
haba seca (vaina seca),1.1574255,1,precio_unico
"haba seca (vaina
seca)",3.80297712481702,1,precio_unico
haba tierna (grano tierno),1.1243562,1,precio_unico
"haba tierna (grano
tierno)",1.12211221122112,1,precio_unico
haba tierna (vaina),2.42504409171076,1,precio_unico
haba tierna en vaina,0.317911573158311,1,precio_unico
harina de pescado 50 % de proteína,0.94,1,precio_unico
harina de pescado 58% de proteína,1.34,1,precio_unico
harina de pescado 65 % de proteína,1.67333333333333,1,precio_unico
harina de trigo - panadería,0.817272727272727,1,precio_unico
harina de trigo - repostería,0.8415,1,precio_unico
hidrrangia hortencia,6.24,1,precio_unico
higo,4.6,1,precio_unico
higuerilla,0.8,1,precio_unico
huerto frutal,3.55,1,precio_unico
huerto horticola,0.49,1,precio_unico
huevo grande,1.63,1,precio_unico
huevo mediano,1.5,1,precio_unico
huevo pequeño,1.3,1,precio_unico
huevos grande,0.10151,1,precio_unico
huevos mediano,0.0977066666666667,1,precio_unico
huevos pequeños,0.09299,1,precio_unico
hypericum,6.24,1,precio_unico
iris - lirios,6.23,1,precio_unico
jamaica,1.653465,1,precio_unico
janeiro,2,1,precio_unico
jengibre,0.661386,1,precio_unico
kikuyo,0.09,1,precio_unico
leche,0.4413,1,precio_unico
leche cruda,0.43,1,precio_unico
leche pasteurizada empaque en funda plástica - entera homogeneizada,1,1,precio_unico
leche uht - entera,1,1,precio_unico
lechero para bovinos,0.505,1,precio_unico
lechuga,0.238037637282203,1,precio_unico
lenteja,1.77025752656434,1,precio_unico
lenteja forrajera,1.779569264,1,precio_unico
lilium,5.65,1,precio_unico
lima,1,1,precio_unico
limon,2.24867724867725,1,precio_unico
limón,0.690241304728861,1,precio_unico
limón  (referencia limón sutil),0.777,1,precio_unico
limón  sutil,0.777,1,precio_unico
limón sutil,0.796753886352845,1,precio_unico
limonium - statice,6.24,1,precio_unico
linaza,4.40924,1,precio_unico
lisianthus,6.24,1,precio_unico
lyatris,6.24,1,precio_unico
macadamia,4.92,1,precio_unico
maíz amarillo 15% embolsado,0.299241291883117,1,precio_unico
maíz amarillo choclo,0.35,1,precio_unico
maíz amarillo no. 2,0.327651277255639,1,precio_unico
maíz duro amarillo (seco y limpio),0.471310626526251,1,precio_unico
maíz duro amarillo (sucio y húmedo),0.392807592501132,1,precio_unico
maíz duro choclo,0.285123677248677,1,precio_unico
maiz duro choclo (choclo),1.3448182,1,precio_unico
maíz duro choclo (choclo),1.34,1,precio_unico
"maiz duro choclo
(choclo)",0.726072607260726,1,precio_unico
maíz duro seco,0.412072433851204,1,precio_unico
maiz duro seco (grano seco),1.3448182,1,precio_unico
maíz duro seco (grano seco),0.412484402,1,precio_unico
maiz duro seco (mazorca),1.7196036,1,precio_unico
"maiz duro seco
(grano seco)",1.34213421342134,1,precio_unico
"maiz duro seco
(mazorca)",1.69416941694169,1,precio_unico
maiz forrajero,1.33,1,precio_unico
maíz suave choclo,0.442972924537528,1,precio_unico
maiz suave choclo (choclo),1.322772,1,precio_unico
maíz suave choclo (choclo),0.4268946,1,precio_unico
"maiz suave choclo
(choclo)",1.32277465211027,1,precio_unico
maíz suave seco  blanco - mote,1.3907933562748,1,precio_unico
maíz suave seco (blanco-semilla),5.72,1,precio_unico
maiz suave seco (grano seco),3.30693,1,precio_unico
maíz suave seco (grano seco),1.5055,1,precio_unico
